,PseudoTime1,PseudoTime2
E903_704,0.88095,
E1989_202,,0.25188
E316_109,,0.13534000000000002
E1051_360,0.44987,
E692_579,0.72431,
E993_581,,0.72682
E28_735,,0.9198
E193_562,0.70301,
E1899_772,,0.9661700000000001
E923_115,,0.14286
E1070_395,,0.49373
E70_696,0.87093,
E1485_756,0.9461200000000001,
E837_484,0.60526,
E1471_559,0.69925,
E1391_350,0.43733999999999995,
E1817_736,,0.92105
E108_534,0.66792,
E1842_660,,0.82581
E812_63,,0.07769
E1813_363,0.45363000000000003,
E1246_86,,0.10652
E1020_681,,0.8521299999999999
E374_96,,0.11905
E1999_549,0.68672,
E2_125,,0.15539
E851_615,0.76942,
E1921_255,0.3183,
E1805_607,,0.7594
E1321_151,0.18797,
E1827_164,,0.20426
E1878_711,,0.8897200000000001
E1454_693,,0.8671700000000001
E351_343,,0.42857
E1275_493,,0.61654
E1444_614,,0.76817
E54_327,0.40852,
E1765_228,,0.28446
E1631_533,,0.66667
E1262_652,0.81579,
E5_558,0.69799,
E230_596,,0.74561
E67_665,,0.8320799999999999
E1848_433,0.54135,
E847_113,,0.14035
E584_677,,0.8471200000000001
E898_296,0.36967,
E1340_206,,0.25689
E1049_749,,0.93734
E1605_292,0.36466,
E887_193,,0.2406
E1336_657,,0.82206
E481_664,,0.83083
E1841_521,0.65163,
E818_587,0.73434,
E499_752,0.9411,
E681_227,,0.28321
E836_119,,0.14787
E804_156,,0.19424
E1536_644,0.80576,
E1306_184,,0.22931999999999997
E1119_778,,0.9736799999999999
E1276_532,,0.6654100000000001
E691_290,0.36216,
E1147_319,0.3985,
E1414_455,,0.56892
E479_599,0.74937,
E1532_442,0.5526300000000001,
E1983_34,0.04135,
E1924_165,0.20551,
E373_558,,0.69799
E1021_426,,0.53258
E367_170,0.21178000000000002,
E1950_103,0.12782000000000002,
E888_515,,0.6441100000000001
E1039_86,,0.10652
E648_647,,0.80952
E871_141,,0.17544
E24_367,,0.45865
E274_401,,0.50125
E1652_431,,0.53885
E1621_769,0.96241,
E1053_681,,0.8521299999999999
E1184_453,,0.56642
E1308_540,0.6754399999999999,
E687_426,0.53258,
E772_71,0.08772,
E257_10,0.01128,
E1384_53,0.06516,
E1350_588,,0.73559
E1333_628,,0.78571
E258_626,,0.7832100000000001
E1980_729,0.91228,
E732_15,,0.01754
E914_58,,0.07143
E1886_75,,0.09272999999999999
E1282_366,0.45738999999999996,
E103_647,,0.80952
E878_564,0.7055100000000001,
E1816_531,0.6641600000000001,
E1546_394,,0.49248000000000003
E1223_652,0.81579,
E779_794,,0.9937299999999999
E742_238,,0.29699000000000003
E693_129,,0.1604
E1064_686,,0.8584
E1720_675,0.8446100000000001,
E1405_650,,0.81328
E1633_642,0.8032600000000001,
E524_722,,0.90351
E1230_769,0.96241,
E841_620,,0.77569
E1380_558,,0.69799
E1801_47,,0.05764
E931_188,0.23434000000000002,
E669_664,,0.83083
E1867_642,,0.8032600000000001
E1326_173,0.21554,
E1542_316,0.39474000000000004,
E718_431,0.53885,
E1734_260,,0.32456
E1047_268,,0.33459
E1594_407,,0.50877
E1596_228,,0.28446
E966_438,0.54762,
E1678_210,0.2619,
E613_547,,0.68421
E362_485,0.60652,
E494_496,0.6203,
E175_783,,0.97995
E1901_391,,0.48872
E814_604,,0.75564
E1812_358,0.44737,
E211_196,,0.24436
E1687_427,,0.53383
E1328_780,,0.97619
E1593_455,0.56892,
E1959_251,0.31328,
E1782_688,0.8609,
E1512_392,,0.48996999999999996
E525_712,,0.8909799999999999
E682_333,0.41603999999999997,
E862_287,,0.3584
E1529_621,0.77694,
E265_376,0.46992,
E455_726,,0.9085200000000001
E1344_407,,0.50877
E116_781,0.97744,
E726_247,,0.30827
E277_81,,0.10025
E1398_510,,0.63784
E537_266,,0.33208000000000004
E1683_67,,0.08271
E936_311,0.38847,
E1987_210,,0.2619
E1400_208,,0.2594
E1487_571,,0.71429
E1581_228,,0.28446
E77_61,0.07518999999999999,
E1781_232,0.28947,
E1108_304,,0.3797
E1397_398,,0.49749
E1465_554,,0.69298
E1985_377,0.47118000000000004,
E1809_464,,0.5802
E839_635,,0.7944899999999999
E902_225,,0.2807
E1167_733,0.9172899999999999,
E605_310,0.38722,
E509_555,0.69424,
E1426_195,,0.24311
E967_770,,0.9636600000000001
E607_20,,0.023809999999999998
E634_355,,0.44361000000000006
E560_319,,0.3985
E1492_236,,0.29449000000000003
E543_643,0.8045100000000001,
E685_566,0.70802,
E1158_89,0.11027999999999999,
E942_647,,0.80952
E891_247,0.30827,
E1934_354,,0.44236000000000003
E974_681,0.8521299999999999,
E1148_729,,0.91228
E1749_364,,0.45488999999999996
E1346_248,,0.30951999999999996
E121_303,0.37845,
E1890_776,,0.9711799999999999
E1464_439,,0.54887
E1571_63,0.07769,
E516_1,,0.0
E1048_783,,0.97995
E416_644,0.80576,
E466_729,,0.91228
E238_574,,0.71805
E469_562,0.70301,
E363_251,0.31328,
E748_660,0.82581,
E75_18,,0.0213
E865_520,,0.6503800000000001
E473_416,,0.52005
E554_393,0.49123,
E1696_82,,0.1015
E185_747,0.93484,
E358_550,0.68797,
E750_445,,0.5563899999999999
E1699_730,,0.91353
E1314_734,0.91855,
E749_365,0.45614,
E459_598,,0.74812
E1157_357,,0.44611999999999996
E1523_787,,0.9849600000000001
E1280_490,,0.61278
E798_545,,0.6817
E1724_617,,0.77193
E223_739,,0.92481
E1087_617,0.77193,
E1090_759,,0.9498700000000001
E933_587,,0.73434
E364_58,0.07143,
E850_460,,0.57519
E444_780,,0.97619
E1088_486,,0.60777
E1271_671,0.8396,
E1256_578,0.72306,
E1657_758,0.94862,
E1161_413,,0.5162899999999999
E1458_410,,0.51253
E273_697,0.87218,
E346_766,,0.95865
E1227_349,0.43609,
E1219_548,,0.6854600000000001
E1943_80,0.099,
E1993_720,,0.9009999999999999
E1305_81,,0.10025
E1254_772,,0.9661700000000001
E227_236,0.29449000000000003,
E904_4,,0.0037600000000000003
E1393_226,,0.28195
E1352_653,,0.81704
E394_385,,0.4812
E932_95,,0.11779
E1660_205,0.25564000000000003,
E1372_21,,0.02506
E1910_752,,0.9411
E295_134,,0.16667
E180_441,,0.55138
E292_248,0.30951999999999996,
E1348_167,0.20801999999999998,
E1862_194,,0.24185
E1461_456,0.57018,
E806_190,,0.23684000000000002
E1186_350,,0.43733999999999995
E1023_753,0.9423600000000001,
E1003_304,,0.3797
E446_81,,0.10025
E1012_19,,0.02256
E461_403,,0.50376
E1906_689,0.86216,
E1180_172,,0.21429
E492_80,,0.099
E329_514,,0.64286
E89_430,,0.53759
E714_140,0.17419,
E527_368,0.4599,
E1036_671,,0.8396
E1239_546,,0.68296
E959_548,0.6854600000000001,
E962_359,,0.44861999999999996
E1195_62,,0.07644
E206_416,,0.52005
E1466_442,,0.5526300000000001
E290_408,0.51003,
E1067_164,,0.20426
E1550_448,0.56015,
E1079_731,0.91479,
E497_792,,0.9912299999999999
E1866_579,,0.72431
E1757_183,,0.22807
E1504_515,,0.6441100000000001
E918_466,,0.5827100000000001
E781_565,0.70677,
E946_752,,0.9411
E529_246,0.30701999999999996,
E271_499,0.6240600000000001,
E948_417,,0.5213
E621_274,0.34210999999999997,
E1583_163,,0.20301
E196_7,0.007520000000000001,
E1316_507,0.6340899999999999,
E752_198,,0.24686999999999998
E579_549,,0.68672
E270_792,,0.9912299999999999
E1172_555,,0.69424
E1252_2,,0.00125
E1743_29,,0.035089999999999996
E603_570,,0.71303
E1779_494,0.61779,
E1127_662,0.8283200000000001,
E746_483,,0.60401
E1967_84,,0.10400999999999999
E541_698,,0.8734299999999999
E261_246,0.30701999999999996,
E386_298,,0.37218
E1837_139,,0.17293
E1770_509,0.63659,
E786_751,,0.93985
E1600_591,,0.73935
E1961_794,,0.9937299999999999
E1972_637,,0.79699
E1368_178,,0.2218
E1022_58,,0.07143
E1731_512,0.64035,
E550_316,,0.39474000000000004
E1431_172,0.21429,
E979_281,,0.35088
E375_262,0.32706999999999997,
E385_351,0.4386,
E1513_486,0.60777,
E1096_157,0.19549,
E435_204,0.25439,
E1931_713,,0.89223
E1412_175,,0.21805
E1074_38,0.04637,
E1069_676,0.8458600000000001,
E1937_227,0.28321,
E486_677,,0.8471200000000001
E1750_83,,0.10275999999999999
E950_643,,0.8045100000000001
E1703_191,,0.2381
E1868_566,,0.70802
E975_571,0.71429,
E1672_617,,0.77193
E570_686,,0.8584
E1803_32,0.03885,
E1433_742,,0.9285700000000001
E1423_363,0.45363000000000003,
E758_226,,0.28195
E838_399,,0.49875
E380_438,,0.54762
E1962_154,,0.19172999999999998
E245_303,,0.37845
E870_282,0.35213,
E1984_745,0.9323299999999999,
E770_316,,0.39474000000000004
E1635_528,0.6604,
E1443_788,,0.9862200000000001
E761_82,,0.1015
E744_557,,0.6967399999999999
E1455_254,,0.31704
E1482_350,0.43733999999999995,
E259_162,,0.20175
E1623_287,,0.3584
E1735_98,,0.12155
E1807_247,,0.30827
E1844_100,0.12405999999999999,
E452_342,,0.42732
E1793_701,0.8771899999999999,
E368_165,,0.20551
E1648_635,0.7944899999999999,
E275_223,0.2782,
E506_243,0.30326,
E736_711,0.8897200000000001,
E697_146,0.1817,
E679_782,0.9787,
E1270_280,,0.34962
E1533_612,,0.76566
E1257_558,,0.69799
E1796_93,,0.11529
E968_96,,0.11905
E976_448,,0.56015
E964_387,0.48371000000000003,
E1323_772,,0.9661700000000001
E1810_166,0.20676999999999998,
E1038_676,,0.8458600000000001
E802_333,0.41603999999999997,
E210_362,,0.45238
E404_42,,0.051379999999999995
E1587_23,0.027569999999999997,
E1751_481,,0.6015
E855_691,,0.86466
E545_427,0.53383,
E149_108,0.13409000000000001,
E253_602,,0.75313
E858_236,0.29449000000000003,
E939_160,0.19925,
E485_695,0.86967,
E1747_68,0.08396,
E978_453,,0.56642
E491_179,,0.22305999999999998
E217_616,0.77068,
E176_265,,0.33083
E705_616,0.77068,
E174_539,,0.67419
E1897_385,,0.4812
E1946_376,,0.46992
E412_507,0.6340899999999999,
E1152_173,0.21554,
E143_20,,0.023809999999999998
E231_58,0.07143,
E963_650,0.81328,
E1850_154,,0.19172999999999998
E427_83,0.10275999999999999,
E251_697,,0.87218
E1084_710,,0.8884700000000001
E1563_187,0.23308,
E1448_382,0.47744,
E43_599,0.74937,
E684_214,0.26692,
E1010_796,,0.99624
E489_787,0.9849600000000001,
E897_304,,0.3797
E618_676,,0.8458600000000001
E953_574,,0.71805
E1620_150,,0.18672
E1708_221,,0.27569
E1869_760,,0.9511299999999999
E1334_674,0.84336,
E153_107,,0.13283
E331_380,,0.47494
E1742_586,,0.7330800000000001
E1031_350,,0.43733999999999995
E1266_59,0.07268,
E1515_555,,0.69424
E517_756,,0.9461200000000001
E1746_555,,0.69424
E1806_549,,0.68672
E539_303,,0.37845
E694_283,0.35338,
E359_79,,0.09774
E1911_449,,0.5614
E1729_505,,0.63158
E336_461,0.57644,
E501_344,,0.42982
E302_418,,0.52256
E1281_188,0.23434000000000002,
E526_36,,0.04386
E595_773,,0.9674200000000001
E477_273,,0.34085
E104_492,,0.61529
E1522_641,0.80201,
E1237_611,0.76441,
E828_238,,0.29699000000000003
E1915_35,,0.04261
E1642_9,,0.010029999999999999
E240_625,,0.78195
E1085_385,,0.4812
E1104_417,0.5213,
E1674_68,,0.08396
E1138_378,0.47243,
E842_174,,0.21679
E573_743,,0.9298200000000001
E80_589,,0.7368399999999999
E1926_730,,0.91353
E1551_389,0.48622,
E1095_651,0.8145399999999999,
E315_133,,0.16541
E774_527,0.65915,
E1903_322,,0.40226
E1029_777,,0.9724299999999999
E803_793,,0.9924799999999999
E1895_532,0.6654100000000001,
E191_659,0.8245600000000001,
E1711_298,,0.37218
E281_319,,0.3985
E1404_21,,0.02506
E1367_436,,0.54511
E1187_12,,0.01378
E1066_273,0.34085,
E1241_558,,0.69799
E1489_621,0.77694,
E390_27,0.03258,
E1988_780,0.97619,
E205_320,0.39975,
E1704_243,,0.30326
E398_536,,0.67043
E1274_575,,0.7193
E1559_793,0.9924799999999999,
E1197_519,,0.64912
E983_28,,0.03383
E1232_48,0.0589,
E674_422,,0.52757
E1338_300,,0.37469
E1467_165,0.20551,
E50_443,,0.55388
E807_724,0.90602,
E177_376,,0.46992
E1018_646,0.8082699999999999,
E1243_564,,0.7055100000000001
E971_547,,0.68421
E1501_202,,0.25188
E90_198,0.24686999999999998,
E1706_21,0.02506,
E1638_374,,0.46742
E1861_365,,0.45614
E1130_149,,0.18545999999999999
E1718_625,0.78195,
E321_687,,0.85965
E739_463,,0.57895
E1439_651,,0.8145399999999999
E879_277,0.34586,
E431_139,,0.17293
E1288_125,0.15539,
E1259_741,,0.92732
E528_691,0.86466,
E513_666,0.8333299999999999,
E1863_767,0.9599,
E1178_355,0.44361000000000006,
E861_422,,0.52757
E69_441,,0.55138
E535_221,,0.27569
E1610_202,0.25188,
E256_621,,0.77694
E81_578,,0.72306
E766_192,,0.23935
E1728_387,,0.48371000000000003
E1560_272,,0.3396
E1171_194,,0.24185
E657_93,0.11529,
E221_697,0.87218,
E372_542,,0.67794
E389_90,,0.11152999999999999
E1037_478,0.5977399999999999,
E312_729,,0.91228
E1548_594,,0.74311
E1013_254,,0.31704
E355_22,,0.02632
E996_527,,0.65915
E1360_233,0.29073000000000004,
E825_476,0.59524,
E23_75,0.09272999999999999,
E1790_399,,0.49875
E298_185,0.23058,
E468_450,0.56266,
E832_620,,0.77569
E406_503,0.62907,
E833_144,,0.1792
E1139_321,,0.401
E1122_356,0.44486000000000003,
E1836_447,,0.5589
E179_118,0.14662,
E1968_276,0.34460999999999997,
E343_495,,0.61905
E540_334,,0.41728999999999994
E1194_303,,0.37845
E1819_563,,0.70426
E773_502,,0.6278199999999999
E1833_399,,0.49875
E943_640,,0.80075
E377_719,0.89975,
E1527_133,,0.16541
E1284_396,,0.49499
E574_298,0.37218,
E1799_115,,0.14286
E1824_201,0.25063,
E1537_369,0.46115,
E1086_259,,0.32331
E876_180,,0.22430999999999998
E1917_61,,0.07518999999999999
E1408_582,,0.72807
E405_385,0.4812,
E341_11,0.01253,
E1410_317,0.39599,
E147_576,,0.72055
E291_790,0.98872,
E599_522,,0.65288
E348_410,,0.51253
E980_487,,0.60902
E361_169,,0.21053000000000002
E1229_342,,0.42732
E1939_722,0.90351,
E708_462,,0.5776899999999999
E1960_322,,0.40226
E503_531,,0.6641600000000001
E1060_31,,0.03759
E1027_606,,0.75815
E745_397,,0.49623999999999996
E49_746,,0.93358
E428_24,,0.02882
E1884_256,,0.31955
E712_552,,0.69048
E308_684,0.8558899999999999,
E556_489,0.61153,
E1922_398,,0.49749
E1374_197,,0.24561
E73_367,0.45865,
E587_354,,0.44236000000000003
E1916_191,,0.2381
E411_702,,0.87845
E1753_617,,0.77193
E1128_599,,0.74937
E1649_560,,0.7005
E1772_193,,0.2406
E856_645,,0.80702
E366_621,0.77694,
E1507_255,,0.3183
E434_151,0.18797,
E126_398,0.49749,
E1117_481,0.6015,
E1235_24,0.02882,
E864_620,,0.77569
E440_541,,0.67669
E1491_568,,0.71053
E1702_379,,0.47368000000000005
E1470_526,,0.65789
E1460_368,,0.4599
E1267_383,,0.4787
E1263_503,,0.62907
E323_627,,0.78446
E1335_269,,0.33584
E1475_668,,0.8358399999999999
E301_676,0.8458600000000001,
E1843_343,,0.42857
E886_788,0.9862200000000001,
E13_795,,0.9949899999999999
E610_288,,0.35965
E1669_574,,0.71805
E383_417,0.5213,
E1419_300,,0.37469
E1210_118,,0.14662
E696_367,,0.45865
E1337_644,0.80576,
E1301_463,,0.57895
E1659_250,0.31203000000000003,
E1973_29,0.035089999999999996,
E1183_153,,0.19047999999999998
E1549_497,,0.62155
E741_551,0.6892199999999999,
E1497_764,,0.95614
E1082_607,,0.7594
E1449_69,0.08521000000000001,
E512_204,0.25439,
E360_377,0.47118000000000004,
E698_223,0.2782,
E1126_619,,0.77444
E418_34,,0.04135
E72_423,,0.52882
E1567_484,,0.60526
E720_493,,0.61654
E1881_204,,0.25439
E432_736,,0.92105
E1632_462,,0.5776899999999999
E204_660,0.82581,
E195_267,,0.33333
E1137_202,0.25188,
E576_467,,0.58396
E1216_532,0.6654100000000001,
E710_123,0.15288,
E1017_494,,0.61779
E136_387,,0.48371000000000003
E1599_143,0.17794000000000001,
E653_526,,0.65789
E391_464,,0.5802
E269_341,0.42607,
E1045_298,0.37218,
E1310_310,0.38722,
E1925_192,,0.23935
E1845_502,,0.6278199999999999
E118_601,,0.75188
E47_357,,0.44611999999999996
E505_237,0.29574,
E458_419,,0.52381
E123_20,,0.023809999999999998
E1611_282,,0.35213
E451_162,0.20175,
E254_473,0.59148,
E1472_32,0.03885,
E588_762,,0.95363
E1159_708,,0.8859600000000001
E504_731,0.91479,
E1417_406,0.50752,
E1077_763,,0.95489
E1956_415,,0.5188
E1165_129,,0.1604
E1511_621,0.77694,
E382_167,,0.20801999999999998
E250_601,0.75188,
E719_799,,1.0
E87_14,,0.01629
E1667_267,,0.33333
E703_409,,0.5112800000000001
E1520_175,,0.21805
E1364_785,0.98246,
E1761_219,,0.27318000000000003
E1260_350,0.43733999999999995,
E393_599,,0.74937
E987_127,0.15789,
E1160_641,0.80201,
E544_370,0.46241000000000004,
E727_6,0.00627,
E990_296,0.36967,
E1763_714,,0.8934799999999999
E1676_579,,0.72431
E1146_654,,0.8183
E1705_525,,0.65664
E947_102,,0.12657000000000002
E1733_522,,0.65288
E753_528,,0.6604
E1188_101,0.12531,
E164_333,,0.41603999999999997
E18_753,,0.9423600000000001
E4_342,0.42732,
E557_430,,0.53759
E1854_258,,0.32206
E1873_334,,0.41728999999999994
E515_100,,0.12405999999999999
E56_313,,0.39098
E1784_118,,0.14662
E1555_749,,0.93734
E578_558,,0.69799
E192_660,,0.82581
E1685_151,0.18797,
E484_529,0.66165,
E589_651,0.8145399999999999,
E214_34,,0.04135
E1626_376,,0.46992
E1365_107,,0.13283
E1969_172,0.21429,
E1957_789,,0.9874700000000001
E344_163,,0.20301
E1499_247,0.30827,
E1279_619,0.77444,
E591_486,0.60777,
E514_391,,0.48872
E430_743,,0.9298200000000001
E1459_268,,0.33459
E1441_195,,0.24311
E127_482,0.6027600000000001,
E324_197,,0.24561
E173_762,,0.95363
E853_123,0.15288,
E287_428,,0.53509
E1145_198,,0.24686999999999998
E868_439,0.54887,
E1351_725,,0.90727
E945_570,,0.71303
E1684_315,0.39348,
E738_19,,0.02256
E1154_204,,0.25439
E76_527,,0.65915
E1892_89,,0.11027999999999999
E1580_410,,0.51253
E1438_741,,0.92732
E1164_558,0.69799,
E1707_324,,0.40476
E102_606,,0.75815
E268_73,0.09022999999999999,
E530_71,0.08772,
E1296_200,0.24936999999999998,
E1385_384,,0.47995
E1065_311,0.38847,
E1709_541,0.67669,
E1206_360,,0.44987
E498_247,0.30827,
